HHID;HV201;HV202;HV201A;HV201B;HV204;HV205;HV206;HV207;HV208;HV209;HV210;HV211;HV212;HV213;HV214;HV215;HV216;HV217;HV218;HV219;HV220;HV221;HV222;HV223;HV225;HV226;HV227;HV228;HV230A;HV230B;HV232;HV232B;HV232C;HV232D;HV232E;HV232Y;HV234;HV234A;HV235;HV236A;HV237;HV237A;HV237B;HV237C;HV237D;HV237E;HV237F;HV237G;HV237H;HV237I;HV237J;HV237K;HV237X;HV237Z;HV238;HV238A;HV239;HV240;HV241;HV242;HV243A;HV243B;HV243C;HV243D;HV243E;HV244;HV245;HV246;HV246A;HV246B;HV246C;HV246D;HV246E;HV246F;HV246G;HV246H;HV246I;HV246J;HV246K;HV247;HV252;HV253;HV253A;HV253B;HV253C;HV253D;HV253E;HV253F;HV253G;HV253H;HV253X;HV253Z;HV255;HV256;HV257;HV259;HV260;HV261;HV262;HV263;HV270;HV271;HV270A;HV271A;HML1;HML1A;HML2
      40  85;32;  ; ;0; 60;31;0;1;0;0;1;0;0;11;33;12; 1;4; 1;1;57;0; 9; 6; ;11;0; ;2;1;1;0; ; ; ;0;   ;0;3; 4;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;1;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 2;0;2;  -90043;3;  -56854; 0;0; 0
      41   2;32;  ; ;0;120;23;0;0;0;0;1;0;0;11;33;12; 2;2; 1;1;35;0; 9; 6;0;11;1;1;5; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 20;1; 0; 0; 0; 0; 0; 5; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;1;2;  -89185;3;  -55524; 2;2; 2
      41   5;32;  ; ;1;240;23;0;1;1;0;1;1;0;11;32;31; 3;4; 1;1;42;0; 9; 6;0;11;1; ;5; ; ; ; ; ; ; ;   ;1;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;1;0;0;0;0;1; 50;1; 0; 0; 0; 3; 0;10; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 2;0;3;  -56508;4;   -4874; 3;3; 0
      41   7;32;  ; ;0;998;23;0;1;0;0;1;0;0;11;22;12; 1;2; 1;2;70;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;3;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1;100;1; 0; 0; 0; 0; 0; 1; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 9;0;1; -100069;1;  -72394; 0;0; 0
      41   9;32;  ; ;1;120;23;0;0;0;0;1;0;0;11;33;12; 1;2; 1;1;30;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;3;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 9;0;1; -104055;1;  -78573; 0;0; 0
      41  12;32;  ; ;0; 90;23;0;0;0;0;0;0;0;11;22;12; 2;2; 1;1;45;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 30;1; 0; 0; 0; 0; 0;30; 1;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;0;2;  -90668;2;  -57822; 0;0; 0
      41  19;32;  ; ;0; 30;23;0;0;0;0;1;0;0;11;33;22; 3;2; 1;2;42;0; 9; 6;0;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 15;1; 0; 0; 0; 0; 0; 2; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11;10;0;1; -101405;1;  -74465; 0;0; 0
      41  21;32;  ; ;0;996;23;0;0;0;0;0;0;0;11;32;22; 1;2; 1;2;20;0; 9; 6;0;11;0;3;2;0;0;0; ; ; ;1;   ;1;2;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 4;0;1; -101341;1;  -74366; 0;0; 0
      41  24;32;  ; ;0; 20;31;0;0;0;0;0;0;0;11;33;22; 2;2; 1;1;43;0; 9; 6; ;11;1;1;2;0;0;0; ; ; ;1;   ;1;3; 2;1;0;0;0;0;0;1;0; ; ; ; ;0;0;  ; ; ; ;1;1;0;0;0;0;0;1; 15;1; 0; 0; 0; 0; 0;13; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1; -107060;1;  -83231; 2;2; 2
      41  26;32;  ; ;0; 60;23;0;0;0;0;1;0;0;11;22;12; 1;2; 1;2;29;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;3;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 20;1; 0; 0; 0; 0; 0; 6; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;0;1; -104338;1;  -79012; 0;0; 0
      41  31;32;  ; ;1; 60;23;0;1;0;0;1;0;0;11;32;12; 2;2; 1;1;32;0; 9; 6;0;11;1;1;1;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;1;1;0;0;0;1; 25;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;1;3;  -74796;4;  -33221; 2;2; 1
      41  33;32;  ; ;0; 20;23;0;0;0;0;1;0;0;11;33;22; 2;2; 1;1;32;0; 9; 6;0;11;1;1;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;1;1;1;0;0;0;0;1; 25;1; 0; 0; 0; 0; 0;10; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;0;1;  -99052;1;  -70818; 2;2; 2
      41  35;32;  ; ;1;120;31;0;0;0;0;1;0;0;11;33;22; 1;2; 1;1;28;0; 9; 6; ;11;1;1;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;1;0;0;0;0;1;  5;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 9;1;1;  -98566;1;  -70065; 1;1; 2
      41  38;32;  ; ;1;120;23;0;0;0;0;0;0;0;11;32;31; 2;3; 1;2;72;0; 9; 6;0;11;0;3;1;1;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;0;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0;10; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95;10;0;3;  -79965;3;  -41234; 0;0; 0
      41  40;32;  ; ;1;120;23;0;0;0;0;1;1;0;12;32;12; 2;2; 1;1;35;0; 9; 6;0;11;1;1;1;1;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 30;1; 0; 0; 0; 0; 0;15; 4;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;1;3;  -80201;3;  -41598; 3;3; 2
      41  42;32;  ; ;1;120;31;0;0;0;0;1;0;0;12;33;12; 1;4; 1;1;42;0; 9; 6; ;11;1;1;1;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;1;0;0;0;1; 20;1; 0; 0; 0; 0; 0; 6; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95;95;0;2;  -88518;3;  -54491; 1;1; 1
      41  45;43;  ; ;0; 50;31;0;0;0;0;1;0;0;11;32;31; 2;2; 1;1;22;0; 9; 6; ;11;1;1;3; ; ; ; ; ; ; ;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 3;0;2;  -82202;3;  -44700; 1;1; 1
      41  47;32;  ; ;1; 20;23;0;0;0;0;1;0;0;11;33;12; 1;4; 1;1;60;0; 9; 6;0;11;0; ;3; ; ; ; ; ; ; ;   ;0;3; 4;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;0;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0; 2; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;0;1; -109612;1;  -87185; 0;0; 0
      41  49;32;  ; ;0; 30;31;0;0;0;0;0;0;0;11;22;12; 1;1; 1;2;33;0; 9; 6; ;11;1;0;2;0;0;0; ; ; ;1;   ;0;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0; 5; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1; -112747;1;  -92045; 1;1; 0
      41  52;32;  ; ;0;996;31;0;0;0;0;1;0;0;11;33;12; 2;2; 1;2;22;0; 9; 6; ;11;1;1;2;0;0;0; ; ; ;1;   ;0;2;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1;  5;1; 2; 0; 0; 0; 0;29; 1;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 3;0;1; -100677;1;  -73337; 2;2; 3
      41  54;31;  ; ;0; 10;23;0;1;0;0;1;1;0;11;33;12; 1;2; 1;1;25;0; 9; 6;0;11;1;1;3; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;1;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0; 9; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;1;3;  -68415;4;  -23331; 2;2; 1
      41  56;31;  ; ;0; 15;31;0;0;0;0;1;0;0;33;32;31; 3;3; 1;2;62;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0; 5; 0;  ;  ;  ;  ;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;3;  -68771;4;  -23881; 0;0; 0
      41  61;32;  ; ;0; 10;23;0;0;0;0;0;0;0;11;32;31; 3;1; 1;2;24;0; 9; 6;0;11;1;0;3; ; ; ; ; ; ; ;   ;1;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;0;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0; 5; 2;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;0;2;  -83534;3;  -46764; 1;1; 0
      42   1;32;  ; ;1;120;31;0;0;0;0;1;0;0;96;12;12; 2;2; 1;1;48;0; 9; 6; ;11;0;3;5; ; ; ; ; ; ; ;   ;3;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1; 70;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 2;0;1;  -98161;1;  -69438; 0;0; 0
      42  10;32;  ; ;0;120;31;0;0;0;0;1;0;0;11;22;12; 3;4; 1;1;48;0; 9; 6; ;11;0; ;5; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1;998;1; 0; 0; 0; 0; 0; 5; 1;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95;95;0;1; -103453;1;  -77640; 0;0; 0
      42  11;32;  ; ;1;140;31;0;1;0;0;1;0;0;11;33;12; 1;2; 1;1;20;0; 9; 6; ;11;1; ;2;1;0;0; ; ; ;1;   ;0;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;1;0;0;0;1;998;1; 0; 0; 0; 0; 0;16; 2;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 3;0;3;  -80091;3;  -41428; 1;1; 0
      42  13;32;  ; ;0; 50;31;0;0;0;0;0;0;0;96;11;12; 1;3; 1;2;53;0; 9; 6; ;11;0; ;5; ; ; ; ; ; ; ;   ;3;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1;998;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 9;0;1; -100426;1;  -72947; 0;0; 0
      42  15;32;  ; ;0; 50;31;0;1;0;0;1;0;0;11;33;11; 1;2; 1;1;30;0; 9; 6; ;11;0;3;5; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 50;1; 0; 2; 0; 0; 0; 2; 1;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 3;0;2;  -89713;3;  -56342; 0;0; 0
      42  16;32;  ; ;0; 90;31;0;0;0;0;1;0;0;11;12;12; 1;2; 1;1;30;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 20;1; 0; 0; 0; 0; 0; 1; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 4;0;1; -104936;1;  -79938; 0;0; 0
      42  18;32;  ; ;1;150;31;0;0;0;0;1;0;0;12;12;12; 1;2; 1;1;27;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 40;1; 0; 0; 0; 0; 0; 3; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 9;0;1;  -95328;2;  -65046; 0;0; 0
      42  20;43;  ; ;0;100;31;0;0;0;0;1;1;0;11;12;22; 1;2; 1;1;40;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;3;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 15;1; 0; 0; 0; 0; 0; 2; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 4;0;1;  -99439;1;  -71418; 0;0; 0
      42  23;32;  ; ;0; 60;23;0;0;0;0;1;0;0;11;33;22; 4;4; 1;1;35;0; 9; 6;0;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;3; ; ;2; ;1;0;0;0;0;1; 20;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 4;0;1;  -98510;1;  -69978; 0;0; 0
      42  30;32;  ; ;1;125;23;0;0;0;0;0;0;0;12;33;12; 1;2; 1;1;27;0; 9; 6;1;11;0;3;2;0;0;0; ; ; ;1;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0; 3;2; ; ;2; ;1;0;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;0;2;  -92610;2;  -60833; 0;0; 0
      42  31;32;  ; ;1;120;31;0;0;0;0;0;0;0;12;21;12; 1;2; 1;2;60;0; 9; 6; ;11;0; ;1;1;0;0; ; ; ;1;   ;1;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1; 30;1; 0; 0; 0; 0; 0; 7; 0;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95;14;0;2;  -94088;2;  -63124; 0;0; 0
      42  33;32;  ; ;0; 60;23;0;0;0;0;1;1;0;11;33;12; 1;2; 1;1;23;0; 9; 6;0;11;0;3;2;0;0;0; ; ; ;1;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;1;0;0;0;0;1;998;1; 0; 0; 0; 0; 0;10; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;0;1;  -99847;1;  -72050; 0;0; 0
      42  34;32;  ; ;0;120;31;0;0;0;0;1;0;0;11;33;12; 1;2; 1;1;45;0; 9; 6; ;11;0;3;3; ; ; ; ; ; ; ;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1; 20;1; 2; 2; 2; 2; 2; 3; 4;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 3;0;2;  -94267;2;  -63401; 0;0; 0
      42  38;32;  ; ;0;120;31;0;0;0;0;0;0;0;11;33;12; 1;2; 1;1;49;0; 9; 6; ;11;0; ;1;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;1;0;0;0;0;1; 10;1; 0; 0; 0; 0; 0;12; 4;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 9;0;1;  -96887;2;  -67462; 0;0; 0
      42  39;43;  ; ;0;120;31;0;0;0;0;0;0;0;11;33;12; 1;1; 1;2;23;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;0;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1;998;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1; -110787;1;  -89008; 0;0; 0
      42  41;32;  ; ;0; 60;31;0;0;0;0;0;0;0;11;33;12; 1;1; 1;2;50;0; 9; 6; ;11;0; ;3; ; ; ; ; ; ; ;   ;0;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;0;0;0;0;0;1; 30;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1; -109419;1;  -86887; 0;0; 0
      42  43;32;  ; ;0; 60;31;0;1;0;0;1;0;0;11;33;12; 1;4; 1;1;45;0; 9; 6; ;11;0;3;2;0;0;0; ; ; ;1;   ;0;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;2; ;1;0;0;0;0;0;   ;1; 2; 2; 2; 2; 2; 2; 1;  ;  ;  ;  ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1; -100723;1;  -73408; 0;0; 0
      43   7;32;  ; ;0;365;23;0;0;0;0;1;0;0;11;33;12; 2;4; 1;1;49;0; 9; 6;0;11;0; ;2;0;0;0; ; ; ;1;   ;1;3; 6;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 10;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;0;1;  -97556;1;  -68499; 0;0; 0
      43   9;32;  ; ;0;360;23;0;0;0;0;1;0;0;11;33;12; 2;4; 1;1;38;0; 9; 6;0;11;0;3;1;0;0;0; ; ; ;1;   ;1;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 20;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 4;0;1;  -96790;2;  -67312; 0;0; 0
      43  12;32;  ; ;1;360;23;0;0;0;0;1;0;0;11;33;12; 2;1; 1;2;34;0; 9; 6;0;11;1;2;2;0;0;0; ; ; ;1;   ;3;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 30;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 9;0;1;  -97872;1;  -68989; 3;3; 1
      43  16;32;  ; ;1;120;31;0;0;0;0;1;0;0;11;33;22; 1;2; 1;1;22;0; 9; 6; ;11;0; ;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 15;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 4;0;1; -101962;1;  -75329; 0;0; 0
      43  19;32;  ; ;0;998;23;0;0;0;0;1;0;0;11;32;12; 2;2; 1;1;41;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;3;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 20;1; 0; 0; 0; 0; 0; 8; 0;  ;  ;  ;  ;0;3; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;0;2;  -91582;2;  -59239; 0;0; 0
      43  23;32;  ; ;0;180;23;0;1;0;0;1;0;0;11;33;12; 2;2; 1;1;44;0; 9; 6;0;11;0;3;2;1;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 30;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;0;2;  -92619;2;  -60847; 0;0; 0
      43  25;32;  ; ;0;150;31;0;1;0;0;1;0;0;11;33;22; 1;2; 1;1;40;0; 9; 6; ;11;0; ;2;0;0;0; ; ; ;1;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;1;0;0;0;0;1; 10;1; 0; 0; 0; 3; 0; 2; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1;  -99917;1;  -72158; 0;0; 0
      43  28;32;  ; ;1;998;23;0;0;0;0;1;1;0;11;32;12; 2;4; 1;1;98;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;1;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1; 30;1; 0; 0; 0;20; 0;98; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;0;2;  -87006;3;  -52147; 0;0; 0
      43  30;32;  ; ;0;998;31;0;0;0;0;0;0;0;96;11;12; 1;4; 1;1;60;0; 9; 6; ;11;0; ;5; ; ; ; ; ; ; ;   ;3;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;3; ;0;0;0;0;0;1; 20;1; 0; 0; 0; 3; 0; 3; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95; ;95; 9;0;1; -104787;1;  -79708; 0;0; 0
      43  32;32;  ; ;0;998;23;0;0;0;0;0;0;0;11;22;12; 2;2; 1;1;40;0; 9; 6;0;11;0;3;5; ; ; ; ; ; ; ;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;1;998;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 4;0;1;  -94988;2;  -64518; 0;0; 0
      43  35;32;  ; ;0; 60;31;0;1;0;0;1;0;0;11;33;22; 3;5; 1;1;45;0; 9; 6; ;11;1;1;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ; ; ; ;1;1;0;0;0;0;0;1; 20;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ;11; 3;0;1;  -98469;1;  -69914; 3;3; 1
      43  37;32;  ; ;0; 30;23;0;0;0;0;1;0;0;11;33;12; 1;4; 1;1;33;0; 9; 6;0;11;0;3;3; ; ; ; ; ; ; ;   ;0;3; 3;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 3;0;1; -100048;1;  -72361; 0;0; 0
      43  39;32;  ; ;1;120;23;0;0;0;0;1;0;0;11;32;22; 2;2; 1;1;34;0; 9; 6;0;11;1;0;2;0;0;0; ; ; ;1;   ;0;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;2; ;1;0;0;0;0;1; 30;1; 0; 0; 0; 0; 0;30; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 4;0;2;  -93476;2;  -62176; 3;3; 0
      43  42;32;  ; ;1;998;23;0;0;0;0;0;0;0;11;22;12; 2;4; 1;2;50;0; 9; 6;0;11;1; ;5; ; ; ; ; ; ; ;   ;1;3; 1;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;0;0;0;0;0;1; 20;1; 0; 0; 0; 0; 0;10; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 2;0;1;  -96680;2;  -67142; 3;3; 0
