HHID;HV000;HV001;HV002;HV003;HV004;HV005;HV006;HV007;HV008;HV008A;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV016;HV017;HV018;HV019;HV020;HV021;HV022;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV035;HV040;HV041;HV042;HV044;HV045A;HV045B;HV045C;HV046;HV047;HV048;HV801;HV802;HV803;HV804;HV807D;HV807M;HV807Y;HV807C;HV807A
       1  78;MZ8;     1;    78;  1;   1;  559281; 7;2022;1471;44772; 6; 3; 0; 6; 6; 2;1;30;1;  102;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1030;1106;36; ;  ;  ;    ;    ;     
       1  82;MZ8;     1;    82;  7;   1;  559281; 7;2022;1471;44771;11; 2; 2;11; 8; 1;1;29;1;  103;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1414;1449;35; ;  ;  ;    ;    ;     
       1  86;MZ8;     1;    86;  2;   1;  559281; 7;2022;1471;44772;10; 1; 0;10;10; 2;1;30;1;  103;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1351; 1;1;1;  2;  2;  2;0;    1;     ; 824; 859;35;1;31; 7;2022;1471;44773
       1  90;MZ8;     1;    90;  1;   1;  559281; 7;2022;1471;44771; 5; 1; 1; 5; 5; 1;1;29;1;  103;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1136;1211;35; ;  ;  ;    ;    ;     
       1  94;MZ8;     1;    94;  1;   1;  559281; 7;2022;1471;44773; 9; 3; 0; 9; 9; 1;1;31;1;  103;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1351; 0;0;1;  2;  2;  2;0;    1;     ;1107;1137;30; ;  ;  ;    ;    ;     
       1  98;MZ8;     1;    98;  2;   1;  559281; 7;2022;1471;44772; 8; 0; 3; 8; 8; 1;1;30;2;  103;   ;0;   1;   1;   1; 1;1; ;1;  560523;  100;     ;   ; 1;1351; 0;1;1;  2;  2;  2;0;    1;     ;1618;1652;96;1;31; 7;2022;1471;44773
       1 102;MZ8;     1;   102;  2;   1;  559281; 7;2022;1471;44771; 7; 0; 0; 7; 3; 1;1;29;1;  103;   ;0;   1;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1351; 1;1;0;  2;  2;  2;0;    1;     ;1024;1103;39;1;31; 7;2022;1471;44773
       2   5;MZ8;     2;     5;  2;   2;  680187; 8;2022;1472;44775; 4; 1; 1; 4; 4; 2;1; 2;1;  101;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;1;    1;     ; 921; 957;36; ;  ;  ;    ;    ;     
       2  10;MZ8;     2;    10;  2;   2;  680187; 8;2022;1472;44776; 4; 1; 0; 4; 3; 1;1; 3;1;  101;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ;1106;1124;18; ;  ;  ;    ;    ;     
       2  15;MZ8;     2;    15;  3;   2;  680187; 8;2022;1472;44776;10; 2; 2;10; 9; 1;1; 3;1;  101;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;0;  2;  2;  2;0;    1;     ;1306;1346;40; ;  ;  ;    ;    ;     
       2  20;MZ8;     2;    20;  1;   2;  680187; 8;2022;1472;44777; 8; 1; 0; 8; 8; 2;1; 4;1;  103;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ; 757; 824;27; ;  ;  ;    ;    ;     
       2  25;MZ8;     2;    25;  1;   2;  680187; 8;2022;1472;44776; 9; 0; 7; 9; 9; 0;1; 3;1;  101;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;1;1;  2;  2;  2;0;    1;     ; 844; 922;38; ;  ;  ;    ;    ;     
       2  30;MZ8;     2;    30;  2;   2;  680187; 8;2022;1472;44775; 4; 1; 0; 4; 4; 0;1; 2;1;  101;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 1;1;1;  2;  2;  2;0;    1;     ;1525;1552;27;2; 3; 8;2022;1472;44776
       2  35;MZ8;     2;    35;  2;   2;  680187; 8;2022;1472;44775; 4; 0; 2; 4; 3; 0;1; 2;1;  102;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ;1128;1153;25; ;  ;  ;    ;    ;     
       2  40;MZ8;     2;    40;  3;   2;  680187; 8;2022;1472;44775; 6; 0; 0; 6; 5; 0;1; 2;1;  102;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 1;1;0;  2;  2;  2;0;    1;     ; 852; 932;40;1; 4; 8;2022;1472;44777
       2  45;MZ8;     2;    45;  1;   2;  680187; 8;2022;1472;44777; 5; 0; 1; 5; 5; 0;1; 4;1;  102;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;1;1;  2;  2;  2;0;    1;     ; 748; 824;36; ;  ;  ;    ;    ;     
       2  50;MZ8;     2;    50;  2;   2;  680187; 8;2022;1472;44776;11; 4; 0;11;10; 2;1; 3;1;  102;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ; 816; 900;44; ;  ;  ;    ;    ;     
       2  55;MZ8;     2;    55;  0;   2;       0; 8;2022;1472;44776; 0; 0; 0; 0; 0; 0;2; 3;1;  102;   ;0;   2;   1;   1; 1;1; ;1;       0;  100;     ;   ; 0;1364; 0;0;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       2  60;MZ8;     2;    60;  2;   2;  680187; 8;2022;1472;44775; 6; 1; 0; 6; 6; 1;1; 2;2;  102;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ;1252;1300;96; ;  ;  ;    ;    ;     
