HHID;IDXH4;SH16;SH17A;SH17B;SH18;SH19A;SH19B;SH36;SH37;SH38;SH39
       1   5; 1;1; 6;12; ;  ;  ; ; ; ; 
       1   5; 2;1; 5;10; ;  ;  ; ; ; ; 
       1   5; 3;1; 6;12; ;  ;  ; ; ; ; 
       1   5; 4;1; 4; 0;1; 4; 7;1;1;4;5
       1   9; 1;1; 5; 8; ;  ;  ; ; ; ; 
       1   9; 2;1; 3; 3;1; 3; 4; ; ; ; 
       1   9; 3; ;  ;  ; ;  ;  ; ; ; ; 
       1   9; 4;1; 3; 1;1; 3; 2; ; ; ; 
       1   9; 5;0;  ;  ; ;  ;  ; ; ; ; 
       1   9; 6;0;  ;  ; ;  ;  ; ; ; ; 
       1  14; 1;1; 4; 7; ;  ;  ; ; ; ; 
       1  14; 2;1; 5; 9;0;  ;  ;1;1;4;4
       1  14; 3;1; 3; 2;1; 3; 3;2;1;4;4
       1  18; 1;1; 2; 0; ;  ;  ; ; ; ; 
       1  18; 2;0;  ;  ; ;  ;  ; ; ; ; 
       1  22; 1;1; 5; 8; ;  ;  ; ; ; ; 
       1  22; 2;1; 5; 8;1; 5; 8;1;1;5;5
       1  22; 3;1; 6;12;1; 6;12; ; ; ; 
       1  22; 4;1; 3; 3;1; 3; 4;1;1;1;5
       1  26; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  26; 2; ;  ;  ; ;  ;  ; ; ; ; 
       1  30; 1;1; 2; 2; ;  ;  ; ; ; ; 
       1  38; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  38; 2;1; 4; 6;1; 4; 6;1;1;5;2
       1  38; 3;0;  ;  ; ;  ;  ; ; ; ; 
       1  42; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  42; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  42; 3;1; 5; 8;1; 5; 9; ; ; ; 
       1  42; 4;1; 5; 8;1; 5; 8; ; ; ; 
       1  42; 5;1; 4; 6;1; 4; 6; ; ; ; 
       1  42; 6;1; 3; 2;1; 3; 3; ; ; ; 
       1  42; 7;0;  ;  ; ;  ;  ; ; ; ; 
       1  46; 1;1; 9; 2; ;  ;  ; ; ; ; 
       1  50; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  50; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  50; 3;1; 6;12;1; 6;12; ; ; ; 
       1  50; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  50; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  54; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  54; 2;1; 4; 6; ;  ;  ; ; ; ; 
       1  54; 3;1; 6;12; ;  ;  ; ; ; ; 
       1  54; 4;1; 5;10;0;  ;  ; ; ; ; 
       1  54; 5;1; 6;11;1; 6;12; ; ; ; 
       1  54; 6;1; 5; 9;1; 5;10;1;1;2;5
       1  54; 7;1; 3; 4;1; 3; 5;1;1;5;4
       1  58; 1;1; 4; 6; ;  ;  ; ; ; ; 
       1  58; 2;1; 4; 7;1; 5; 8; ; ; ; 
       1  58; 3;1; 3; 3;1; 3; 4; ; ; ; 
       1  58; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  62; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  62; 2;1; 5; 0; ;  ;  ; ; ; ; 
       1  62; 3;1; 3; 0;1; 3; 1;2;1;1;2
       1  62; 4; ;  ;  ; ;  ;  ; ; ; ; 
       1  66; 1;1; 6;12; ;  ;  ; ; ; ; 
       1  66; 2;1; 5; 0; ;  ;  ; ; ; ; 
       1  66; 3;1; 4; 0;1; 4; 6; ; ; ; 
       1  66; 4;1; 3; 2;1; 3; 3; ; ; ; 
       1  66; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  70; 1;1; 6; 0; ;  ;  ; ; ; ; 
       1  70; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  70; 3;1; 5; 8;1; 5; 9; ; ; ; 
       1  70; 4;1; 3; 0;1; 3; 1;1;1;5;5
       1  70; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  74; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  74; 2;1; 3; 5;1; 3; 5; ; ; ; 
       1  74; 3;1; 5; 9;1; 5;10; ; ; ; 
       1  74; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  74; 5;1; 6;12;0;  ;  ; ; ; ; 
       1  78; 1;1;12; 4; ;  ;  ; ; ; ; 
       1  78; 2;1;12; 2;1;12; 3; ; ; ; 
       1  78; 3;1;12; 1;1;12; 2; ; ; ; 
       1  78; 4;0;  ;  ; ;  ;  ; ; ; ; 
       1  78; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  78; 6;1;12; 4;0;  ;  ; ; ; ; 
       1  82; 1;1;98;  ; ;  ;  ; ; ; ; 
       1  82; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  82; 3;1; 6;12;0;  ;  ; ; ; ; 
       1  82; 4;1; 6;12; ;  ;  ; ; ; ; 
       1  82; 5;1; 5; 8;1; 5; 9; ; ; ; 
       1  82; 6;1; 5;10;1; 5;10; ; ; ; 
       1  82; 7;1; 6;12;0;  ;  ; ; ; ; 
       1  82; 8;1; 4; 6;1; 4; 6; ; ; ; 
       1  82; 9;1; 3; 3;0;  ;  ; ; ; ; 
       1  82;10;1; 5;10;0;  ;  ; ; ; ; 
       1  82;11; ;  ;  ; ;  ;  ; ; ; ; 
       1  86; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  86; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  86; 3;1; 6;11;1; 6;11; ; ; ; 
       1  86; 4;1; 5; 9;0;  ;  ; ; ; ; 
       1  86; 5;1; 5; 8;0;  ;  ; ; ; ; 
       1  86; 6;1; 4; 6;0;  ;  ;1;1;5;8
       1  86; 7;1; 4; 7;1; 4; 7;1;1;5;5
       1  86; 8;1; 3; 4;0;  ;  ;1;1;4;8
       1  86; 9;0;  ;  ; ;  ;  ;1;8;8;8
       1  86;10; ;  ;  ; ;  ;  ; ; ; ; 
       1  90; 1;1; 6;12;0;  ;  ; ; ; ; 
       1  90; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  90; 3;1; 6;12; ;  ;  ; ; ; ; 
       1  90; 4;1; 3; 1;1; 3; 1; ; ; ; 
       1  90; 5; ;  ;  ; ;  ;  ; ; ; ; 
       1  94; 1;1; 5;10; ;  ;  ; ; ; ; 
       1  94; 2;1; 6;12; ;  ;  ; ; ; ; 
       1  94; 3;1; 8; 3;1; 8; 3; ; ; ; 
       1  94; 4;1; 6;12;0;  ;  ; ; ; ; 
       1  94; 5;1; 5; 9;1; 5;10;1;1;8;8
       1  94; 6;1; 3; 4;1; 3; 5;1;1;8;8
       1  94; 7; ;  ;  ; ;  ;  ; ; ; ; 
       1  94; 8;1; 5;10;1; 6;11;1;1;2;5
       1  94; 9;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 1;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 2;1; 6;11;1; 6;12; ; ; ; 
       1  98; 3;1; 6;12;0;  ;  ; ; ; ; 
       1  98; 4;1; 6;12;0;  ;  ; ; ; ; 
       1  98; 5;1; 3; 4;1; 3; 4; ; ; ; 
       1  98; 6;1; 4; 7;1; 4; 7; ; ; ; 
       1  98; 7;0;  ;  ; ;  ;  ; ; ; ; 
       1  98; 8;1; 3; 1;1; 3; 1; ; ; ; 
       1 102; 1;1; 6;12; ;  ;  ; ; ; ; 
       1 102; 2;1; 5; 9;0;  ;  ; ; ; ; 
       1 102; 3;1; 4; 7;1; 4; 7;1;1;8;8
       1 102; 4;1; 3; 5;1; 3; 5;1;1;8;8
       1 102; 5;0;  ;  ; ;  ;  ; ; ; ; 
       1 102; 6;1; 5;10;0;  ;  ; ; ; ; 
       1 102; 7;1; 6;12; ;  ;  ; ; ; ; 
       2   5; 1;1; 6;12; ;  ;  ; ; ; ; 
       2   5; 2;1; 5;10;0;  ;  ; ; ; ; 
       2   5; 3;0;  ;  ; ;  ;  ; ; ; ; 
       2   5; 4; ;  ;  ; ;  ;  ; ; ; ; 
       2  10; 1;1; 6;12; ;  ;  ; ; ; ; 
       2  10; 2;1; 4; 6;0;  ;  ; ; ; ; 
       2  10; 3;1; 5; 8; ;  ;  ; ; ; ; 
       2  10; 4;0;  ;  ; ;  ;  ; ; ; ; 
       2  15; 1;0;  ;  ; ;  ;  ; ; ; ; 
       2  15; 2;1; 5; 9; ;  ;  ; ; ; ; 
       2  15; 3;1; 5;10; ;  ;  ; ; ; ; 
       2  15; 4;1; 6;12;0;  ;  ; ; ; ; 
       2  15; 5;1; 4; 7;0;  ;  ; ; ; ; 
       2  15; 6;1; 3; 4;1; 3; 5; ; ; ; 
       2  15; 7;1; 3; 3;1; 3; 4; ; ; ; 
       2  15; 8;1; 3; 1;1; 3; 1; ; ; ; 
       2  15; 9;0;  ;  ; ;  ;  ; ; ; ; 
       2  15;10;1; 6;11; ;  ;  ; ; ; ; 
       2  20; 1;1; 6;11; ;  ;  ; ; ; ; 
       2  20; 2;1;12; 4; ;  ;  ; ; ; ; 
       2  20; 3;1; 3; 3;1; 3; 4;1;1;5;5
       2  20; 4;1; 3; 2;1; 3; 3;1;1;5;5
       2  20; 5;0;  ;  ; ;  ;  ; ; ; ; 
       2  20; 6; ;  ;  ; ;  ;  ; ; ; ; 
       2  20; 7;1; 3; 3;1; 3; 5;1;1;5;8
       2  20; 8;0;  ;  ; ;  ;  ;2;2;8;8
       2  25; 1;1; 3; 4; ;  ;  ; ; ; ; 
       2  25; 2;1; 6;11; ;  ;  ; ; ; ; 
       2  25; 3;1; 6;12; ;  ;  ; ; ; ; 
       2  25; 4;1; 6;12;0;  ;  ; ; ; ; 
       2  25; 5;1; 8; 3;1; 9; 3; ; ; ; 
       2  25; 6;1; 4; 7;1; 4; 7; ; ; ; 
       2  25; 7;1; 6;12;0;  ;  ; ; ; ; 
       2  25; 8;1; 5;10;1; 5;10; ; ; ; 
       2  25; 9;1; 6;11;1; 6;12; ; ; ; 
       2  30; 1;1; 5;10; ;  ;  ; ; ; ; 
       2  30; 2;1; 6;12; ;  ;  ; ; ; ; 
       2  30; 3;1; 3; 5;1; 4; 6;1;1;2;1
       2  30; 4;1; 3; 3;1; 3; 4;1;1;5;1
       2  35; 1;1; 5;10; ;  ;  ; ; ; ; 
       2  35; 2;1; 6;12; ;  ;  ; ; ; ; 
       2  35; 3;1; 3; 5;1; 4; 6; ; ; ; 
       2  35; 4;1; 3; 5;1; 4; 6; ; ; ; 
       2  40; 1;1;98;  ; ;  ;  ; ; ; ; 
       2  40; 2;1; 9; 2; ;  ;  ; ; ; ; 
       2  40; 3;1; 6;12;1; 9; 2; ; ; ; 
       2  40; 4;1; 4; 7;1; 5; 9;1;1;1;4
       2  40; 5;1; 3; 4;1; 3; 5;1;1;4;4
       2  40; 6;0;  ;  ; ;  ;  ; ; ; ; 
       2  45; 1;1; 6;12; ;  ;  ; ; ; ; 
       2  45; 2;1; 9; 3; ;  ;  ; ; ; ; 
       2  45; 3;1; 3; 3;1; 3; 4; ; ; ; 
       2  45; 4;1; 3; 2;1; 3; 3; ; ; ; 
       2  45; 5;1; 4; 7;1; 5; 8; ; ; ; 
       2  50; 1;1; 6;12; ;  ;  ; ; ; ; 
       2  50; 2;1; 6;12; ;  ;  ; ; ; ; 
       2  50; 3;1; 6;12;0;  ;  ; ; ; ; 
       2  50; 4;1;12; 4; ;  ;  ; ; ; ; 
       2  50; 5;1; 6;12; ;  ;  ; ; ; ; 
       2  50; 6;1; 5;10;1; 6;11;8;1;5;4
       2  50; 7;1; 3; 5;1; 4; 7;2;1;4;4
       2  50; 8;1; 3; 5;1; 4; 7;1;1;4;4
       2  50; 9;1; 3; 0;1; 3; 4;1;1;4;4
       2  50;10;0;  ;  ; ;  ;  ;1;1;3;3
       2  50;11; ;  ;  ; ;  ;  ; ; ; ; 
       2  60; 1;1;98;  ; ;  ;  ; ; ; ; 
       2  60; 2;1; 4; 7; ;  ;  ; ; ; ; 
       2  60; 3;1; 3; 4;0;  ;  ;1;1;4;5
       2  60; 4;1; 3; 2;1; 3; 3;1;2;2;4
       2  60; 5;0;  ;  ; ;  ;  ;1;1;2;5
       2  60; 6;0;  ;  ; ;  ;  ; ; ; ; 
       2  65; 1;1;12; 4; ;  ;  ; ; ; ; 
       2  65; 2;1; 6;12;0;  ;  ; ; ; ; 
       2  65; 3;1; 9; 2;0;  ;  ; ; ; ; 
       2  65; 4;1; 5;10;1; 6;11; ; ; ; 
       2  65; 5; ;  ;  ; ;  ;  ; ; ; ; 
       2  70; 1;0;  ;  ; ;  ;  ; ; ; ; 
       2  70; 2;1; 3; 5; ;  ;  ; ; ; ; 
       2  70; 3;1; 3; 0;1; 3; 1;1;1;5;5
       2  70; 4;1; 3; 4;1; 3; 5;1;1;5;5
       2  70; 5;1; 3; 5;0;  ;  ; ; ; ; 
       2  70; 6;1; 5; 9;1; 5;10;1;1;4;5
       2  70; 7;0;  ;  ; ;  ;  ; ; ; ; 
       2  70; 8;1; 6;12; ;  ;  ; ; ; ; 
       2  70; 9; ;  ;  ; ;  ;  ; ; ; ; 
       2  75; 1;1; 4; 7; ;  ;  ; ; ; ; 
       2  75; 2;1; 6;12; ;  ;  ; ; ; ; 
       2  75; 3;1; 3; 4; ;  ;  ; ; ; ; 
       2  75; 4;1; 5; 9;1; 5;10; ; ; ; 
       2  75; 5;0;  ;  ; ;  ;  ; ; ; ; 
       2  75; 6; ;  ;  ; ;  ;  ; ; ; ; 
       2  75; 7;0;  ;  ; ;  ;  ; ; ; ; 
       2  75; 8;0;  ;  ; ;  ;  ; ; ; ; 
       2  75; 9;0;  ;  ; ;  ;  ; ; ; ; 
       2  75;10;0;  ;  ; ;  ;  ; ; ; ; 
       2  80; 1;1; 6;12; ;  ;  ; ; ; ; 
       2  80; 2;0;  ;  ; ;  ;  ; ; ; ; 
       2  80; 3;1; 4; 7;0;  ;  ; ; ; ; 
       2  80; 4;1; 3; 4;1; 3; 5;1;1;1;1
       2  80; 5;1; 4; 6;1; 4; 7;1;1;5;5
       2  80; 6;1; 3; 4;1; 3; 5;1;1;5;5
       2  80; 7;1; 3; 4;1; 3; 5;1;1;5;5
       2  80; 8;1; 6;12; ;  ;  ; ; ; ; 
       2  80; 9;1; 3; 4;1; 3; 4;1;1;5;5
       2  80;10;1; 6;12; ;  ;  ; ; ; ; 
       2  85; 1;1;12; 5; ;  ;  ; ; ; ; 
       2  85; 2;1; 6;12; ;  ;  ; ; ; ; 
       2  85; 3;1; 6;12; ;  ;  ; ; ; ; 
       2  85; 4;1; 6;11;1; 6;11; ; ; ; 
       2  85; 5;1; 6;11;1; 6;11; ; ; ; 
       2  85; 6;1; 5; 8;1; 5; 9; ; ; ; 
       2  90; 1;1; 5; 9; ;  ;  ; ; ; ; 
       2  90; 2;1; 3; 4; ;  ;  ; ; ; ; 
       2  90; 3;1; 5; 9;1; 5;10; ; ; ; 
       2  90; 4;1; 4; 7;0;  ;  ; ; ; ; 
       2  90; 5;1; 5;10;1; 6;11;1;1;8;8
       2  90; 6;0;  ;  ; ;  ;  ; ; ; ; 
       2  95; 1;1; 4; 7; ;  ;  ; ; ; ; 
       2  95; 2;0;  ;  ; ;  ;  ; ; ; ; 
       2  95; 3;1; 6;12; ;  ;  ; ; ; ; 
       2  95; 4;1; 6;12; ;  ;  ; ; ; ; 
       2  95; 5;1; 6;12; ;  ;  ; ; ; ; 
       2  95; 6;1; 6;12; ;  ;  ; ; ; ; 
       2  95; 7;1; 4; 7; ;  ;  ; ; ; ; 
       2  95; 8;1; 4; 7;1; 5; 8; ; ; ; 
       2  95; 9;1; 3; 5;1; 4; 6; ; ; ; 
       2  95;10;1; 3; 2;1; 3; 3; ; ; ; 
       2  95;11;0;  ;  ; ;  ;  ; ; ; ; 
       2  95;12;1; 3; 0;1; 3; 1; ; ; ; 
       2  95;13;0;  ;  ; ;  ;  ; ; ; ; 
       2  95;14; ;  ;  ; ;  ;  ; ; ; ; 
       2  95;15;1; 6;11; ;  ;  ; ; ; ; 
       2 100; 1;1; 3; 4; ;  ;  ; ; ; ; 
       2 100; 2;1; 3; 4; ;  ;  ; ; ; ; 
       2 100; 3;0;  ;  ; ;  ;  ; ; ; ; 
       2 100; 4;1; 4; 7; ;  ;  ; ; ; ; 
       2 100; 5;1; 6;12; ;  ;  ; ; ; ; 
       2 100; 6;1; 6;12; ;  ;  ; ; ; ; 
       2 100; 7;1; 6;12; ;  ;  ; ; ; ; 
       2 100; 8;1; 5;10;0;  ;  ; ; ; ; 
       2 100; 9;1; 6;12; ;  ;  ; ; ; ; 
       2 100;10;1; 5;10;0;  ;  ; ; ; ; 
       2 100;11;1; 6;12; ;  ;  ; ; ; ; 
       2 100;12;0;  ;  ; ;  ;  ; ; ; ; 
       2 100;13;0;  ;  ; ;  ;  ;1;2;4;8
       2 100;14;1; 4; 6;1; 4; 7;1;1;8;8
       2 100;15;0;  ;  ; ;  ;  ; ; ; ; 
       2 100;16;0;  ;  ; ;  ;  ; ; ; ; 
       2 100;17;0;  ;  ; ;  ;  ;1;1;8;8
       2 105; 1;1; 4; 7; ;  ;  ; ; ; ; 
       2 105; 2;1; 6;11; ;  ;  ; ; ; ; 
       2 105; 3;1; 6;12;0;  ;  ; ; ; ; 
       2 105; 4;1; 5; 8;0;  ;  ; ; ; ; 
       2 105; 5;1; 5; 8;1; 5; 9; ; ; ; 
       2 105; 6;1; 5; 9;1; 5;10; ; ; ; 
       2 105; 7; ;  ;  ; ;  ;  ; ; ; ; 
       2 105; 8; ;  ;  ; ;  ;  ; ; ; ; 
       2 105; 9; ;  ;  ; ;  ;  ; ; ; ; 
       2 105;10; ;  ;  ; ;  ;  ; ; ; ; 
       2 115; 1;0;  ;  ; ;  ;  ; ; ; ; 
       2 115; 2;1; 3; 4; ;  ;  ; ; ; ; 
       2 115; 3;1; 5; 9; ;  ;  ; ; ; ; 
       2 115; 4;1; 5; 9; ;  ;  ; ; ; ; 
       2 115; 5;1; 5; 9; ;  ;  ; ; ; ; 
       2 115; 6;1; 5; 0;1; 5; 8; ; ; ; 
       2 115; 7;1; 4; 6;1; 4; 7; ; ; ; 
       2 115; 8;1; 5; 8;1; 5; 9; ; ; ; 
       2 115; 9;1; 3; 3;1; 3; 4; ; ; ; 
       2 115;10;1; 3; 3;1; 3; 4; ; ; ; 
       2 115;11; ;  ;  ; ;  ;  ; ; ; ; 
       2 115;12; ;  ;  ; ;  ;  ; ; ; ; 
       2 115;13;1; 3; 1;1; 3; 2; ; ; ; 
       2 115;14;0;  ;  ; ;  ;  ; ; ; ; 
       2 115;15; ;  ;  ; ;  ;  ; ; ; ; 
       2 115;16;1; 6;12; ;  ;  ; ; ; ; 
       2 130; 1;0;  ;  ; ;  ;  ; ; ; ; 
       2 130; 2;1; 3; 3; ;  ;  ; ; ; ; 
       2 130; 3;1; 3; 3; ;  ;  ; ; ; ; 
       2 130; 4;1; 5; 9;1; 5;10; ; ; ; 
       2 130; 5;1; 4; 6;1; 4; 7;1;1;4;4
       2 130; 6;1; 3; 3;1; 3; 4;2;1;4;4
       2 130; 7;1; 3; 1;1; 3; 2;2;2;4;4
       2 130; 8;0;  ;  ; ;  ;  ;3;2;4;4
       2 130; 9;1; 4; 0;1; 4; 6;2;1;4;4
       21005; 1;1; 6;12;0;  ;  ; ; ; ; 
       21005; 2;1; 5; 9;1; 5;10; ; ; ; 
       21005; 3;1; 5; 8;1; 5; 8; ; ; ; 
       3   6; 1;1; 5;10; ;  ;  ; ; ; ; 
       3   6; 2;1; 5; 8;0;  ;  ; ; ; ; 
       3   6; 3;1; 3; 3;1; 3; 3;1;1;5;5
       3  14; 1;1;98;  ; ;  ;  ; ; ; ; 
       3  29; 1;1; 3; 5; ;  ;  ; ; ; ; 
       3  29; 2;1; 4; 7;1; 4; 7; ; ; ; 
       3  29; 3;0;  ;  ; ;  ;  ; ; ; ; 
       3  29; 4;0;  ;  ; ;  ;  ; ; ; ; 
       3  29; 5;0;  ;  ; ;  ;  ; ; ; ; 
       3  36; 1;1; 3; 5; ;  ;  ; ; ; ; 
       3  36; 2;1; 3; 3;1; 3; 3;1;1;5;5
       3  43; 1;1; 5; 9;1; 5;10; ; ; ; 
       3  43; 2;1; 3; 5;0;  ;  ; ; ; ; 
       3  43; 3;1; 5;10; ;  ;  ; ; ; ; 
       3  58; 1;1; 3; 5; ;  ;  ; ; ; ; 
       3  58; 2;1; 5; 9;1; 5;10; ; ; ; 
       3  65; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3  65; 2; ;  ;  ; ;  ;  ; ; ; ; 
       3  73; 1;1; 4; 7;0;  ;  ; ; ; ; 
       3  73; 2;0;  ;  ; ;  ;  ; ; ; ; 
       3  73; 3; ;  ;  ; ;  ;  ; ; ; ; 
       3  73; 4;0;  ;  ; ;  ;  ; ; ; ; 
       3  80; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3  80; 2;1; 4; 7;1; 5; 8;8;1;8;5
       3 102; 1;1; 5;10; ;  ;  ; ; ; ; 
       3 110; 1;1; 3; 4; ;  ;  ; ; ; ; 
       3 110; 2;1; 4; 7;0;  ;  ; ; ; ; 
       3 110; 3;1; 3; 5;1; 4; 6;1;1;5;5
       3 110; 4;0;  ;  ; ;  ;  ; ; ; ; 
       3 110; 5;0;  ;  ; ;  ;  ; ; ; ; 
       3 110; 6;0;  ;  ; ;  ;  ; ; ; ; 
       3 110; 7; ;  ;  ; ;  ;  ; ; ; ; 
       3 110; 8;0;  ;  ; ;  ;  ; ; ; ; 
       3 117; 1;1; 5; 8; ;  ;  ; ; ; ; 
       3 117; 2;0;  ;  ; ;  ;  ; ; ; ; 
       3 117; 3;0;  ;  ; ;  ;  ; ; ; ; 
       3 125; 1;1; 5; 9;1; 5;10; ; ; ; 
       3 125; 2;0;  ;  ; ;  ;  ; ; ; ; 
       3 125; 3;0;  ;  ; ;  ;  ; ; ; ; 
       3 125; 4;1; 5; 9;1; 5;10; ; ; ; 
       3 125; 5; ;  ;  ; ;  ;  ; ; ; ; 
       3 125; 6; ;  ;  ; ;  ;  ; ; ; ; 
       3 132; 1;1; 5;10; ;  ;  ; ; ; ; 
       3 132; 2;0;  ;  ; ;  ;  ; ; ; ; 
       3 132; 3;0;  ;  ; ;  ;  ; ; ; ; 
       3 132; 4; ;  ;  ; ;  ;  ; ; ; ; 
       3 139; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3 139; 2;1; 4; 6; ;  ;  ; ; ; ; 
       3 139; 3;1; 3; 0;1; 3; 1;1;1;5;5
       3 139; 4;0;  ;  ; ;  ;  ; ; ; ; 
       3 139; 5; ;  ;  ; ;  ;  ; ; ; ; 
       3 139; 6;1; 5;10; ;  ;  ; ; ; ; 
       3 139; 7;0;  ;  ; ;  ;  ; ; ; ; 
       3 139; 8;1; 4; 7;0;  ;  ; ; ; ; 
       3 139; 9;0;  ;  ; ;  ;  ;1;1;8;8
       3 139;10;0;  ;  ; ;  ;  ; ; ; ; 
       3 139;11;0;  ;  ; ;  ;  ; ; ; ; 
       3 139;12;1; 3; 2;1; 3; 3;1;1;8;8
       3 139;13;0;  ;  ; ;  ;  ;1;1;5;5
       3 139;14;0;  ;  ; ;  ;  ;1;1;5;5
       3 139;15;0;  ;  ; ;  ;  ; ; ; ; 
       3 139;16; ;  ;  ; ;  ;  ; ; ; ; 
       3 147; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3 147; 2;1; 3; 3; ;  ;  ; ; ; ; 
       3 147; 3;1; 5; 8;0;  ;  ; ; ; ; 
       3 147; 4;1; 4; 0;1; 4; 7; ; ; ; 
       3 147; 5;0;  ;  ; ;  ;  ; ; ; ; 
       3 154; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3 154; 2;1; 3; 5;1; 4; 6;1;1;5;5
       3 154; 3;0;  ;  ; ;  ;  ;2;1;5;8
       3 154; 4;0;  ;  ; ;  ;  ;1;1;8;8
       3 154; 5;0;  ;  ; ;  ;  ;2;1;8;5
       3 154; 6;0;  ;  ; ;  ;  ;1;1;5;5
       3 162; 1;1; 3; 5; ;  ;  ; ; ; ; 
       3 162; 2;0;  ;  ; ;  ;  ; ; ; ; 
       3 162; 3;1; 3; 4; ;  ;  ; ; ; ; 
       3 162; 4;1; 3; 3;0;  ;  ; ; ; ; 
       3 162; 5;1; 3; 2;0;  ;  ; ; ; ; 
       3 162; 6;1; 3; 1;0;  ;  ; ; ; ; 
       3 162; 7;0;  ;  ; ;  ;  ; ; ; ; 
       3 162; 8;0;  ;  ; ;  ;  ; ; ; ; 
       3 162; 9;1; 3; 2; ;  ;  ; ; ; ; 
       3 170; 1;0;  ;  ; ;  ;  ; ; ; ; 
       3 170; 2;1; 5; 0; ;  ;  ; ; ; ; 
       3 170; 3;1; 5; 8;1; 5; 9;2;1;4;4
       3 170; 4;1; 3; 4;1; 3; 5;2;2;4;4
       3 170; 5; ;  ;  ; ;  ;  ; ; ; ; 
       3 170; 6;1; 3; 4;1; 3; 5;2;2;4;4
       3 170; 7;0;  ;  ; ;  ;  ; ; ; ; 
       3 177; 1;1; 4; 0; ;  ;  ; ; ; ; 
       3 177; 2;1; 3; 1; ;  ;  ; ; ; ; 
       3 177; 3;1; 5; 0;1; 5; 8; ; ; ; 
       3 177; 4;1; 3; 1;0;  ;  ; ; ; ; 
       3 177; 5;0;  ;  ; ;  ;  ; ; ; ; 
       3 177; 6;0;  ;  ; ;  ;  ; ; ; ; 
       3 177; 7;0;  ;  ; ;  ;  ; ; ; ; 
       3 177; 8;0;  ;  ; ;  ;  ; ; ; ; 
       3 177; 9; ;  ;  ; ;  ;  ; ; ; ; 
       3 185; 1;1; 5; 9; ;  ;  ; ; ; ; 
       3 185; 2;1; 5; 0;0;  ;  ; ; ; ; 
       3 185; 3;0;  ;  ; ;  ;  ; ; ; ; 
       3 185; 4; ;  ;  ; ;  ;  ; ; ; ; 
       3 192; 1;1; 4; 6;1; 4; 7; ; ; ; 
       3 192; 2;1; 5; 0;1; 5; 8; ; ; ; 
       3 192; 3;1; 4; 0;1; 4; 6; ; ; ; 
       3 192; 4;1; 3; 1;1; 3; 2; ; ; ; 
       3 192; 5;0;  ;  ; ;  ;  ; ; ; ; 
       3 192; 6;0;  ;  ; ;  ;  ; ; ; ; 
       3 192; 7;0;  ;  ; ;  ;  ; ; ; ; 
       4   4; 1;1;98;  ; ;  ;  ; ; ; ; 
       4   4; 2;0;  ;  ; ;  ;  ; ; ; ; 
       4   4; 3;1; 6;12; ;  ;  ; ; ; ; 
       4   4; 4;1; 5;10;1; 6;11; ; ; ; 
       4   4; 5;1; 5;10;1; 6;11;1;1;1;4
       4   4; 6;1; 3; 3;1; 3; 4;1;1;4;2
       4   4; 7;1; 4; 7;0;  ;  ; ; ; ; 
       4   4; 8; ;  ;  ; ;  ;  ; ; ; ; 
       4  10; 1;1; 4; 0; ;  ;  ; ; ; ; 
       4  10; 2;1; 6;12;0;  ;  ; ; ; ; 
       4  10; 3;1; 5; 8;1; 5; 9; ; ; ; 
       4  15; 1;1; 6;12;0;  ;  ; ; ; ; 
       4  15; 2;1; 3; 3;0;  ;  ; ; ; ; 
       4  15; 3;0;  ;  ; ;  ;  ;1;1;3;5
       4  15; 4;1; 5; 8;0;  ;  ; ; ; ; 
       4  20; 1;1; 5;10; ;  ;  ; ; ; ; 
       4  20; 2;1; 3; 3;1; 3; 4; ; ; ; 
       4  20; 3;1; 6; 0;1; 6;11; ; ; ; 
       4  20; 4;1; 3; 3;1; 3; 4; ; ; ; 
       4  25; 1;1; 3; 3; ;  ;  ; ; ; ; 
       4  25; 2;1; 6;12; ;  ;  ; ; ; ; 
