HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
       4  47;       4  47 03;1048;1145;57;1;  101;  ;0;0;0;0;0;0;0
       4  47;       4  47 05;1034;1046;12;1;  101;  ;0;0;0;0;0;0;0
       4  47;       4  47 09; 928;1022;54;1;  101;  ;0;0;0;0;0;0;0
       4  52;       4  52 02;1325;1426;61;1;  101;  ;0;0;0;0;0;0;0
       4  57;       4  57 01; 813; 858;45;1;  101;  ;0;0;0;0;0;0;0
       4  62;       4  62 04;1151;1230;39;1;  102;  ;0;0;0;0;0;0;0
       4  62;       4  62 05;1144;1147;96;3;  102;  ;0;0;0;0;0;0;0
       4  68;       4  68 02;1250;1351;96;2;  102;  ;0;0;0;0;0;0;0
       4  78;       4  78 02;1334;1421;47;1;  102;  ;0;0;0;0;0;0;0
       4  83;       4  83 01;1410;1501;51;1;  102;  ;0;0;0;0;0;0;0
       4  89;       4  89 02; 907; 920;96;4;  102;  ;0;0;0;0;0;0;0
       4  94;       4  94 03;1500;1546;46;1;  103;  ;0;0;0;0;0;0;0
       4  94;       4  94 10;1607;1623;96;2;  103;  ;0;0;0;0;0;0;0
       4 105;       4 105 02; 948;1028;40;1;  102;  ;0;0;0;0;0;0;0
       4 110;       4 110 01;1246;1327;41;1;  103;  ;0;0;0;0;0;0;0
       4 126;       4 126 01;1426;1503;37;1;  103;  ;0;0;0;0;0;0;0
       4 131;       4 131 02;1504;1544;40;1;  103;  ;0;0;0;0;0;0;0
       4 136;       4 136 01;1616;1649;33;1;  102;  ;0;0;0;0;0;0;0
       5   3;       5   3 02;1137;1157;96;3;  102;  ;0;0;0;0;0;0;0
       5   9;       5   9 02;1458;1553;96;2;  102;  ;0;0;0;0;0;0;0
