MCASEID;MV301;MV302;MREC31_GROUP_01;MREC31_GROUP_02;MREC31_GROUP_03;MREC31_GROUP_04;MREC31_GROUP_05;MREC31_GROUP_06;MREC31_GROUP_07;MREC31_GROUP_08;MREC31_GROUP_09;MREC31_GROUP_10;MREC31_GROUP_11;MREC31_GROUP_12;MREC31_GROUP_13;MREC31_GROUP_14;MREC31_GROUP_15;MREC31_GROUP_16;MREC31_GROUP_17;MREC31_GROUP_18;MREC31_GROUP_19;MREC31_GROUP_20
       5 120  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       5 131  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;20  ;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       5 131  4;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;10  ;38  ;38  
       5 143  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 1;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       6  13  3;3; ;11 0;11 0;11 1;18  ;11 0;10  ;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       6  55  4;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       6  63  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       6  84  2;3; ;10  ;10  ;11 0;18  ;11 1;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       7   5  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;10  ;21 0;20  ;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       7  30  1;3; ;11 0;10  ;11 1;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
       7  37  3;3; ;11 0;10  ;11 1;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       7  37  5;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       7  43  2;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       7  63  3;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       7  69  8;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;20  ;31 0;11 0;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       7  76  1;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 1;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
       8   1  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       8   1  3;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       8  13  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
       8  36  1;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       8  83  1;3; ;11 0;10  ;11 1;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
       8  95  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       8 107  2;3; ;11 0;11 0;11 1;18  ;11 0;11 0;11 0;21 0;21 0;31 0;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
       8 107  6;3; ;11 0;10  ;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;10  ;10  ;11 0;38  ;38  
       8 118  7;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;21 0;20  ;30  ;10  ;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
       8 130  3;3; ;10  ;10  ;10  ;18  ;11 0;10  ;10  ;20  ;20  ;30  ;10  ;28  ;10  ;10  ;18  ;10  ;10  ;10  ;38  ;38  
       9   1  1;3; ;11 0;10  ;11 0;18  ;11 0;10  ;10  ;21 0;20  ;30  ;11 0;28  ;10  ;10  ;18  ;10  ;10  ;11 0;38  ;38  
