MCASEID;MMTH1;MMTH2;MMTH3;MMTH4;MMTH5;MMTH6;MMTH7;MMTH8;MMTH9;MMTH10;MMTH11;MMTH12;MMTH13;MMTH14;MMTH15;MMTH16;MMTH17;MMTH18A;MMTH18B;MMTH18C;MMTH18D;MMTH18E;MMTH18F;MMTH18G;MMTH18H;MMTH18I;MMTH18J;MMTH18K;MMTH18L;MMTH18M;MMTH18N;MMTH18O;MMTH18P;MMTH18X;MMTH19;MMTH20;MMTH21;MMTH22;MMTH23;MMTH24
       4  62  7;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 5;2; 1
       4  83  6;0;2;2;1;1;0;2;2;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 6;2; 8
       4  94  2;1;2;2;0;1;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 5;2; 7
       4  94  6;0;0;2;1;1;1;0;1;0;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 8;2; 5
       4 126  2;2;1;2;1;0;2;0;0;2;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 8;2; 8
       5  15  1;2;2;2;1;1;2;2;1;2;2;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0;11;1;12
       5  38  1;2;2;2;2;2;2;0;2;2;0;2;0;2;2;1;2;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0;13;1;12
       5  50  2;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 2
       5  50  4;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 1
       5  50  5;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 1
       5  61  3;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0;13;1;13
       5 108  1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 1
       5 108  3;1;0;2;0;1;2;0;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 7;2; 6
       5 120  1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 1
       5 131  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
       5 131  4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 1
