MCASEID;MV000;MV001;MV002;MV003;MV004;MV005;MV006;MV007;MV008;MV008A;MV009;MV010;MV011;MV012;MV013;MV014;MV015;MV016;MV021;MV022;MV023;MV024;MV025;MV026;MV027;MV028;MV029;MV030;MV031;MV032;MREC01_GROUP_1;MREC01_GROUP_2;MREC01_GROUP_3;MREC01_GROUP_4;MREC01_GROUP_5;MREC01_GROUP_6;MREC01_GROUP_7;MREC01_GROUP_8;MV035;MV045A;MV045B;MV045C;MV046;MV047;MV048;MV801;MV802;MV803
       1  50  1;MZ8;     1;    50;  1;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  50  2;MZ8;     1;    50;  2;   1;  586674; 8;2022;1472;44774; 2;1988;1058;34; 4;1;1; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ; 856; 951;55
       1  58  2;MZ8;     1;    58;  2;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  66  1;MZ8;     1;    66;  1;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  74  3;MZ8;     1;    74;  3;   1;  586674; 7;2022;1471;44773; 3;2004;1251;18; 1;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1027;1119;52
       1  74  5;MZ8;     1;    74;  5;   1;  586674; 7;2022;1471;44772; 8;1997;1172;24; 2;1;1;30;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1413;1449;36
       1  82  6;MZ8;     1;    82;  6;   1;       0; 8;2022;1472;44774;  ;    ;    ;  ;  ; ;2; 1;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       1  82  7;MZ8;     1;    82;  7;   1;  586674; 7;2022;1471;44773; 4;2000;1204;22; 2;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1444;1529;45
       1  90  2;MZ8;     1;    90;  2;   1;  586674; 7;2022;1471;44773; 6;1994;1134;28; 3;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 1 22;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ;1213;1313;60
       1  98  2;MZ8;     1;    98;  2;   1;  586674; 7;2022;1471;44773; 2;2002;1226;20; 2;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ; 914; 951;37
       1  98  3;MZ8;     1;    98;  3;   1;  586674; 7;2022;1471;44773; 9;1997;1173;24; 2;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1328;1417;49
       1  98  4;MZ8;     1;    98;  4;   1;  586674; 7;2022;1471;44773; 7;2003;1243;19; 1;1;1;31;   1;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ; 826; 909;43
       2   5  1;MZ8;     2;     5;  1;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2  15  4;MZ8;     2;    15;  4;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2  15  5;MZ8;     2;    15;  5;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2  25  2;MZ8;     2;    25;  2;   2;  713502; 8;2022;1472;44778; 2;1990;1082;32; 4;1;1; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ;1004;1035;31
       2  25  3;MZ8;     2;    25;  3;   2;  713502; 8;2022;1472;44776;12;1994;1140;27; 3;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ;1143;1210;27
       2  25  4;MZ8;     2;    25;  4;   2;  713502; 8;2022;1472;44777; 2;1998;1178;24; 2;1;1; 4;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ;1014;1041;27
       2  25  5;MZ8;     2;    25;  5;   2;  713502; 8;2022;1472;44776; 9;2000;1209;21; 2;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1311;1345;34
       2  25  7;MZ8;     2;    25;  7;   2;  713502; 8;2022;1472;44776; 7;1999;1195;23; 2;1;1; 3;   2;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;1;    1;     ;1301;1303;96
       2  25  8;MZ8;     2;    25;  8;   2;  713502; 8;2022;1472;44777; 2;2006;1274;16; 1;1;1; 4;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1057;1119;22
       2  25  9;MZ8;     2;    25;  9;   2;  713502; 8;2022;1472;44778; 7;1999;1195;23; 2;1;1; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ; 924; 958;34
       2  35  3;MZ8;     2;    35;  3;   2;  713502; 8;2022;1472;44777; 2;2007;1286;15; 1;1;1; 4;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1235;1305;30
       2  35  4;MZ8;     2;    35;  4;   2;  713502; 8;2022;1472;44777; 6;2006;1278;16; 1;1;1; 4;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1336;1412;36
       2  45  3;MZ8;     2;    45;  3;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;6; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2  65  1;MZ8;     2;    65;  1;   2;  713502; 8;2022;1472;44776; 7;1975; 907;47; 7;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 0 39;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  7;0;    1;     ;1437;1510;33
       2  65  2;MZ8;     2;    65;  2;   2;  713502; 8;2022;1472;44776; 8;2000;1208;22; 2;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 4 18;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  7;0;    1;     ;1519;1600;41
       2  75  2;MZ8;     2;    75;  2;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2  95  3;MZ8;     2;    95;  3;   2;  713502; 8;2022;1472;44776; 5;1987;1049;35; 5;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 7 29;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ; 805; 856;51
       2  95  4;MZ8;     2;    95;  4;   2;  713502; 8;2022;1472;44776; 8;1994;1136;28; 3;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ;1050;1126;36
       2  95  5;MZ8;     2;    95;  5;   2;  713502; 8;2022;1472;44776; 8;1994;1136;28; 3;1;1; 3;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 8 23;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ; 907; 940;33
       2  95  6;MZ8;     2;    95;  6;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2 105  3;MZ8;     2;   105;  3;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2 105  6;MZ8;     2;   105;  6;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       2 115  7;MZ8;     2;   115;  7;   2;  713502; 8;2022;1472;44776; 6;2004;1254;18; 1;1;1; 3;   2;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1000;1016;96
       2 115 16;MZ8;     2;   115; 16;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       21005  1;MZ8;     2;  1005;  1;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       21005  3;MZ8;     2;  1005;  3;   2;       0; 8;2022;1472;44778;  ;    ;    ;  ;  ; ;2; 5;   2;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3  43  1;MZ8;     3;    43;  1;   3; 1173514; 8;2022;1472;44781; 5;2004;1253;18; 1;1;1; 8;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ; 735; 817;42
       3  43  2;MZ8;     3;    43;  2;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3  43  3;MZ8;     3;    43;  3;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3  58  2;MZ8;     3;    58;  2;   3; 1173514; 8;2022;1472;44781; 7;2004;1255;18; 1;1;1; 8;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1148;1231;43
       3 102  1;MZ8;     3;   102;  1;   3; 1173514; 8;2022;1472;44780; 3;1982; 987;40; 6;1;1; 7;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  6;0;    1;     ; 944;1037;53
       3 117  1;MZ8;     3;   117;  1;   3; 1173514; 8;2022;1472;44781; 3;1994;1131;28; 3;1;1; 8;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 23;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ;1348;1433;45
       3 132  1;MZ8;     3;   132;  1;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3 162  1;MZ8;     3;   162;  1;   3; 1173514; 8;2022;1472;44782; 6;1970; 846;52; 8;1;1; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 0 46; 0 48;     ;     ;     ;     ;     ;     ;2;  2; 11; 11;0;    1;     ; 740; 815;35
       3 162  3;MZ8;     3;   162;  3;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3 162  7;MZ8;     3;   162;  7;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       3 177  1;MZ8;     3;   177;  1;   3;       0; 8;2022;1472;44782;  ;    ;    ;  ;  ; ;2; 9;   3;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       4  10  2;MZ8;     4;    10;  2;   4;  765469; 8;2022;1472;44787;10;2004;1258;17; 1;1;1;14;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1023;1104;41
       4  41  1;MZ8;     4;    41;  1;   4;  765469; 8;2022;1472;44787; 8;1980; 968;42; 6;1;1;14;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 39;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  7;0;    1;     ;1640;1726;46
       4  41  7;MZ8;     4;    41;  7;   4;  765469; 8;2022;1472;44788; 4;2002;1228;20; 2;1;1;15;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ; 945;1032;47
       4  52  1;MZ8;     4;    52;  1;   4;       0; 8;2022;1472;44790;  ;    ;    ;  ;  ; ;2;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       4  62  3;MZ8;     4;    62;  3;   4;  765469; 8;2022;1472;44789;12;1994;1140;27; 3;1;1;16;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 5 22;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ;1318;1357;39
       4  62  6;MZ8;     4;    62;  6;   4;  765469; 8;2022;1472;44788; 3;2001;1215;21; 2;1;1;15;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1109;1155;46
       4  62  7;MZ8;     4;    62;  7;   4;  765469; 8;2022;1472;44787; 2;2006;1274;16; 1;1;1;14;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1525;1554;29
       4  83  2;MZ8;     4;    83;  2;   4;       0; 8;2022;1472;44790;  ;    ;    ;  ;  ; ;2;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       4  83  6;MZ8;     4;    83;  6;   4;  765469; 8;2022;1472;44788; 4;1982; 988;40; 6;1;1;15;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  7;0;    1;     ;1531;1616;45
       4  94  2;MZ8;     4;    94;  2;   4;  765469; 8;2022;1472;44790; 9;1998;1185;23; 2;1;1;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ;1147;1217;30
       4  94  6;MZ8;     4;    94;  6;   4;  765469; 8;2022;1472;44790; 7;1993;1123;29; 3;1;1;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;10 21;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  1;0;    1;     ;1113;1140;27
       4 126  2;MZ8;     4;   126;  2;   4;  765469; 8;2022;1472;44789; 9;1986;1041;35; 5;1;1;16;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 1 29;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  1;0;    1;     ; 927;1022;55
       4 136  2;MZ8;     4;   136;  2;   4;       0; 8;2022;1472;44790;  ;    ;    ;  ;  ; ;2;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       4 136  3;MZ8;     4;   136;  3;   4;       0; 8;2022;1472;44790;  ;    ;    ;  ;  ; ;2;17;   4;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       5  15  1;MZ8;     5;    15;  1;   5; 1185442; 8;2022;1472;44786; 2;1971; 854;51; 8;1;1;13;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 43;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  1;0;    1;     ;1332;1417;45
       5  27  1;MZ8;     5;    27;  1;   5;       0; 8;2022;1472;44786;  ;    ;    ;  ;  ; ;2;13;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       5  38  1;MZ8;     5;    38;  1;   5; 1185442; 8;2022;1472;44785; 1;1990;1081;32; 4;1;1;12;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 32;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  1;0;    1;     ; 940;1030;50
       5  50  2;MZ8;     5;    50;  2;   5; 1185442; 8;2022;1472;44784; 5;1996;1157;26; 3;1;1;11;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ; 905; 940;35
       5  50  3;MZ8;     5;    50;  3;   5;       0; 8;2022;1472;44786;  ;    ;    ;  ;  ; ;2;13;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       5  50  4;MZ8;     5;    50;  4;   5; 1185442; 8;2022;1472;44785; 4;2004;1252;18; 1;1;1;12;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1443;1509;26
       5  50  5;MZ8;     5;    50;  5;   5; 1185442; 8;2022;1472;44786; 9;2006;1281;15; 1;1;1;13;   5;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1012;1027;96
       5  61  3;MZ8;     5;    61;  3;   5; 1185442; 8;2022;1472;44786;12;2004;1260;17; 1;1;1;13;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2; 11;0;    1;     ; 832; 904;32
       5  85  5;MZ8;     5;    85;  5;   5;       0; 8;2022;1472;44786;  ;    ;    ;  ;  ; ;2;13;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       5 108  1;MZ8;     5;   108;  1;   5; 1185442; 8;2022;1472;44784; 9;1988;1065;33; 4;1;1;11;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1018;1106;48
       5 108  3;MZ8;     5;   108;  3;   5; 1185442; 8;2022;1472;44784; 7;2001;1219;21; 2;1;1;11;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  1;0;    1;     ;1116;1148;32
       5 120  1;MZ8;     5;   120;  1;   5; 1185442; 8;2022;1472;44783; 9;1997;1173;24; 2;1;1;10;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 23;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ;1019;1058;39
       5 131  1;MZ8;     5;   131;  1;   5; 1185442; 8;2022;1472;44785; 8;1969; 836;53; 8;1;1;12;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 40;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ; 711; 742;31
       5 131  4;MZ8;     5;   131;  4;   5; 1185442; 8;2022;1472;44783; 6;2003;1242;19; 1;1;1;10;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1526;1600;34
       5 143  1;MZ8;     5;   143;  1;   5; 1185442; 8;2022;1472;44785; 8;1976; 920;46; 7;1;1;12;   5;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 38;     ;     ;     ;     ;     ;     ;     ;1;  2;  2; 11;0;    1;     ;1219;1316;57
       6  13  3;MZ8;     6;    13;  3;   6;  722256;12;2022;1476;44918; 2;2000;1202;22; 2;1;1;23;   6;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;10 19;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ;1020;1042;22
       6  55  3;MZ8;     6;    55;  3;   6;       0;12;2022;1476;44921;  ;    ;    ;  ;  ; ;6;26;   6;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;   ;   ;   ; ;    1;     ;    ;    ;  
       6  55  4;MZ8;     6;    55;  4;   6;  722256;12;2022;1476;44918; 5;2007;1289;15; 1;1;1;23;   6;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1935;1950;15
       6  63  1;MZ8;     6;    63;  1;   6;  722256;12;2022;1476;44921; 8;1995;1148;27; 3;1;1;26;   6;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ; 2 20;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ;1254;1308;96
       6  84  2;MZ8;     6;    84;  2;   6;  722256;12;2022;1476;44921; 1;1997;1165;25; 3;1;1;26;   6;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ; 1 18;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ;2055;2113;96
       7   5  1;MZ8;     7;     5;  1;   7;  789344;12;2022;1476;44916;11;1973; 887;49; 7;1;1;21;   7;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ; 0 42; 0 38; 2 30;     ;     ;     ;     ;     ;3;  2; 11; 11;0;    1;     ;1218;1235;96
       7  30  1;MZ8;     7;    30;  1;   7;  789344;12;2022;1476;44916; 5;1992;1109;30; 4;1;1;21;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 0 30; 2 26;     ;     ;     ;     ;     ;     ;2;  2;  2;  2;0;    1;     ;1446;1514;28
       7  37  3;MZ8;     7;    37;  3;   7;  789344;12;2022;1476;44915;11;1999;1199;23; 2;1;1;20;   7;   1;   1; 1;1; ;2;  104;   ;  100;     ;   ; 8 17;     ;     ;     ;     ;     ;     ;     ;1;  2; 11; 11;0;    1;     ;2019;2033;96
       7  37  5;MZ8;     7;    37;  5;   7;  789344;12;2022;1476;44916; 2;2007;1286;15; 1;1;1;21;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1058;1111;13
       7  43  2;MZ8;     7;    43;  2;   7;  789344;12;2022;1476;44915; 7;1994;1135;28; 3;1;1;20;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 1 24;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  2;0;    1;     ;1746;1809;23
       7  63  3;MZ8;     7;    63;  3;   7;  789344;12;2022;1476;44915; 5;1999;1193;23; 2;1;1;20;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2; 11; 11;0;    1;     ;1719;1733;14
       7  69  8;MZ8;     7;    69;  8;   7;  789344;12;2022;1476;44916;11;1986;1043;36; 5;1;1;21;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 0 29; 3 27;     ;     ;     ;     ;     ;     ;2;  2; 11; 11;0;    1;     ;2028;2047;19
       7  76  1;MZ8;     7;    76;  1;   7;  789344;12;2022;1476;44915; 6;1997;1170;25; 3;1;1;20;   7;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 25;     ;     ;     ;     ;     ;     ;     ;1;  2;  2;  2;0;    1;     ;1504;1530;26
       8   1  1;MZ8;     8;     1;  1;   8; 1178377;10;2022;1474;44858; 6;1968; 822;54; 8;1;1;24;   8;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 36;     ;     ;     ;     ;     ;     ;     ;1;  2;  1;  1;0;    1;     ;1612;1641;29
       8   1  3;MZ8;     8;     1;  3;   8; 1178377;10;2022;1474;44859; 8;2004;1256;18; 1;1;1;25;   8;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ;     ;     ;     ;     ;     ;     ;     ;     ;0;  2;  2;  2;0;    1;     ; 948;1008;20
       8  13  1;MZ8;     8;    13;  1;   8; 1178377;10;2022;1474;44858; 5;1974; 893;48; 7;1;1;24;   8;   1;   1; 1;1; ;1;  104;   ;  100;     ;   ; 2 35;     ;     ;     ;     ;     ;     ;     ;1;  2;  1;  1;0;    1;     ;1517;1556;39
